X	Y	Z
0.00000	0.00000	0  
0.00533	-0.00792	0  
0.01557	-0.01401	0  
0.03029	-0.01870	0  
0.04915	-0.02248	0  
0.07195	-0.02586	0  
0.09868	-0.02922	0  
0.12954	-0.03282	0  
0.16483	-0.03660	0  
0.20483	-0.04016	0  
0.24869	-0.04283	0  
0.29531	-0.04446	0  
0.34418	-0.04510	0  
0.39476	-0.04482	0  
0.44650	-0.04371	0  
0.49883	-0.04188	0  
0.55117	-0.03945	0  
0.60296	-0.03655	0  
0.65360	-0.03327	0  
0.70257	-0.02975	0  
0.74930	-0.02607	0  
0.79330	-0.02235	0  
0.83407	-0.01866	0  
0.87118	-0.01512	0  
0.90420	-0.01180	0  
0.93279	-0.00880	0  
0.95661	-0.00621	0  
0.97543	-0.00410	0  
0.98901	-0.00254	0  
0.99722	-0.00158	0  
0.99997	-0.00126	0   
