X	Y	Z 
1.00003	0.00126	0  
0.99730	0.00170	0  
0.98914	0.00302	0  
0.97563	0.00518	0  
0.95693	0.00812	0  
0.93324	0.01176	0  
0.90482	0.01602	0  
0.87197	0.02079	0  
0.83506	0.02597	0  
0.79449	0.03145	0  
0.75070	0.03712	0  
0.70417	0.04285	0  
0.65541	0.04854	0 	 
0.60496	0.05405	0  
0.55335	0.05924	0  
0.50117	0.06397	0  
0.44897	0.06811	0  
0.39733	0.07150	0  
0.34681	0.07402	0  
0.29796	0.07554	0  
0.25131	0.07597	0  
0.20738	0.07524	0  
0.16604	0.07320	0  
0.12732	0.06915	0  
0.09230	0.06265	0  
0.06203	0.05382	0  
0.03730	0.04324	0  
0.01865	0.03176	0  
0.00628	0.02030	0  
0.00015	0.00956	0  
0.00000	0.00000	0  
		
